#######################
##
## License goes here
##
#######################
a	A
beliichtung	b@li:s\tuN
bëlleg	b@l@s\
beloune	b@l@Un@
belounen	b@l@Un@n
belounung	b@l@UnuN
belsch	b{lS
bemustere	b@must@R@
bemusteren	b@must@R@n
bëndelche	b@nd@ls\@
bëndelchen	b@nd@ls\@n
beneiden	b@nAId@n
benevol	benevol
bengel	b{N@l
beniwwelen	b@niv@l@n
benotze	b@nots@
benotzen	b@nots@n
benotzerinne	b@nots@Rin@
benotzerrotschlag	b@nots6Ro:tSla:X
bensin	b{nzin
bensinspompel	b{nzinspomp@l
bensinsstatioun	b{nzinsSta:tsj@Un
berappe	b@RAp@
berappen	b@RAp@n
berechne	b@R{s\n@
berechnen	b@R{s\n@n
berechnung	b@R{s\nuN
beréiere	b@R3I@R@
beréieren	b@R3I@R@n
berode	b@Ro:d@
beroden	b@Ro:d@n
beroderinne	b@Ro:d@Rin@
berouege	b@R@U@z\@
berouegen	b@R@U@z\@n
berouegungsmëttel	b@R@U@z\uNsm@t@l
berri	b{Ri:
beruff	b@Ruf
beruffsgrupp	b@RufsgRup
berühmt	b@Ry:mt
besat	b@sa:t
bësch	b@S
bëschaarbechterinne	b@Sa:Rb@s\t@Rin@
beschäftegungssommet	b@S{ft@z\uNssome:
beschass	b@SAs
bescheed	b@Se:t
bescheide	b@SAId@
bescheiden	b@SAId@n
bescheinege	b@SAIn@z\@
bescheinegen	b@SAIn@z\@n
beschëllege	b@S@l@z\@
beschëllegen	b@S@l@z\@n
beschiedege	b@Si@d@z\@
beschiedegen	b@Si@d@z\@n
beschmiere	b@Smi@R@
beschmieren	b@Smi@R@n
bëschof	b@So:f
beschrëftung	b@SR@ftuN
beschreiwe	b@SRAIv@
beschreiwen	b@SRAIv@n
beschreiwung	b@SRAIvuN
beschte	b{St@
beschten	b{St@n
beschütze	b@Syts@
beschützen	b@Syts@n
beschwéiere	b@Sw3I@R@
beschwéieren	b@Sw3I@R@n
bëschzerstéierung	b@Sts6St3I@RuN
bësele	b@z@l@
bëselen	b@z@l@n
besetze	b@z{ts@
besetzen	b@z{ts@n
besëtzer	b@z@ts6
besëtzerinne	b@z@ts@Rin@
besiche	b@zis\@
besichen	b@zis\@n
besoff	b@zof
besoin	b@zwE~:
besonnesch	b@zon@S
bësse	b@s@
bëssen	b@s@n
besser	b{s6
besserer	b{s@R6
besseres	b{s@R@s
besserung	b{s@RuN
besserwësserinne	b{s6v@s@Rin@
bestelle	b@St{l@
bestellen	b@St{l@n
bestellung	b@St{luN
bestëmmt	b@St@mt
bestierzung	b@Sti6tsuN
bestietnes	b@Sti@tn@s
bestoe	b@Sto:@
bestoen	b@Sto:@n
bestrofe	b@StRo:f@
bestrofen	b@StRo:f@n
bestseller	b{sts{l6
bestuede	b@Stu@d@
bestueden	b@Stu@d@n
bestuet	b@Stu@t
besuch	b@zuX
besuddele	b@zud@l@
besuddelen	b@zud@l@n
betaaschte	b@ta:St@
betaaschten	b@ta:St@n
bëtong	b@toN
betoune	b@t@Un@
betounen	b@t@Un@n
betounung	b@t@UnuN
betrib	b@tRi:p
bett	b{t
bettduch	b{tduX
bettseecheschzalot	b{tze:S@StsAlo:t
bettspree	b{tSpRe:
bevëlkere	b@v@lk@R@
bewäertungssystem	b@vE:6tuNssiste:m
bewäis	b@v{:Is
bewässere	b@v{s@R@
bewässeren	b@v{s@R@n
bewege	b@ve:z\@
bewegen	b@ve:z\@n
beweise	b@vAIz@
beweisen	b@vAIz@n
bewëllege	b@v@l@z\@
bewëllegen	b@v@l@z\@n
bewonnere	b@von@R@
bewonneren	b@von@R@n
bewonnereswäert	b@von@R@svE:6t
bewonnerung	b@von@RuN
bewosstlosegkeet	b@vostlo:z@s\ke:t
bezéiungsproblem	b@ts3IuNspRoble:m
bezuele	b@tsu@l@
bezuelen	b@tsu@l@n
bibeltext	bib@lt{kst
biber	bi:b6
bibliothecairinne	bibliote:kE:Rin@
bibliothéik	bibliot3Ik
bic	bik
bich	bis\
bichelche	bis\@ls\@
bichelchen	bis\@ls\@n
bicherbuttek	bis\6butek
bicherschaf	bis\6Sa:f
bidde	bid@
bidden	bid@n
biddo	bido:
bidet	bide:
biede	bi@d@
bieden	bi@d@n
biegerinitiativ	bie:z\6initsjAti:f
bier	bi6
bierg	bi6s\
biergaarbechterinne	bi6s\a:Rb@s\t@Rin@
bierger	bi6z\6
biergerinne	bi6z\@Rin@
biergsteigerinne	bi6s\StAIz\@Rin@
bierk	bi6k
biesem	bi@z@m
biffdeck	bifd{k
bigoudi	bigudi:
biischt	bi:St
bijou	biZu:
bijouterie	biZu:t@Ri:
bild	bilt
bildungschaos	bilduNska:os
bille	bil@
billen	bil@n
biller	bil6
billerbuch	bil6buX
billjee	bilje:
bir	bi6
birele	bi:R@l@
birelen	bi:R@l@n
bis	bis
bistro	bistRo:
bitze	bits@
bitzen	bits@n
bitzmaschinne	bitsmASin@
biz	bi:ts
bläi	bl{:I
bläistëft	bl{:ISt@ft
bläizaldot	bl{:ItsAldo:t
blaméiere	blAm3I@R@
blaméieren	blAm3I@R@n
blann	blAn
bläre	blE:R@
blären	blE:R@n
blat	bla:t
blatzeg	blAts@s\
blech	bl{s\
blechschléier	bl@s\Sl3I6
bléck	blek
bleech	ble:s\
bléi	bl3I
bléie	bl3I@
bléien	bl3I@n
bléimele	ble:im@l@
bléimelen	ble:im@l@n
bleiwe	blAIv@
bleiwen	blAIv@n
blénke	bleNk@
blénken	bleNk@n
bless	bl{s
blesséiere	bl{s3I@R@
blesséieren	bl{s3I@R@n
blesséierte	bl{s3I6t@
blesséierten	bl{s3I6t@n
blëtz	bl@ts
blëtze	bl@ts@
blëtzen	bl@ts@n
blo	blo:
block	blok
blöd	bl2:t
bloder	blo:d6
bloelzeg	blo:@lts@s\
blond	blont
blos	blo:s
blose	blo:z@
blosen	blo:z@n
blouse	blu:s
bludde	blud@
bludden	blud@n
bluddung	bluduN
blumm	blum
blummebeet	blum@be:t
blummebuttek	blum@butek
blummendëppe	blum@nd@p@
blummendëppen	blum@nd@p@n
blus	blu:s
blutt	blut
bluttaarmutt	bluda:Rmut
bluttdrock	blutdRok
bobine	bobin
bobinne	bobin@
bockel	bok@l
bockeleg	bok@l@s\
bockeleges	bok@leg@s
bocksprange	bokSpRAN@
bocksprangen	bokSpRAN@n
bokal	boka:l
boll	bol
bols	bols
boma	bo:ma:
bomen	bo:m@n
bomercher	bo:m6s\6
bomi	bo:mi
bomien	bo:mi:@n
bomm	bom
bompele	bomp@l@
bompelen	bomp@l@n
bon	bA~:
bongert	boN6t
boni	bo:ni
bonjour	bA~:Zu:6
bonsoir	bA~:swa:R
bonusse	bo:nus@
bonzele	bonts@l@
bonzelen	bonts@l@n
boot	bo:t
bopa	bo:pa:
bor	bo:R
bord	bO:R
bordüre	bORdy:R
borem	bo:R@m
bosnesch	bosn@S
bosseg	bos@s\
botanikerinne	bota:nik@Rin@
botte	bot
botter	bot6
botz	bots
botze	bots@
botzen	bots@n
botzerei	bots@RAI
botzfra	botsfRa:
bou	b@U
bouaker	b@Ua:k6
bouf	b@Uf
bougie	buZi:
boule	bul
boulette	bul{t
boun	b@Un
bouquet	buke:
bouschéisse	b@US3Is@
bouschéissen	b@US3Is@n
bouss	b@Us
boutique	butik
boutiquë	butik@
box	boks
boxe	boks@
boxen	boks@n
boxerinne	boks@Rin@
boycott	boIkot
braavst	bRa:fst
braderië	bRAdeRi:@
braderieen	bRAdeRi:@n
bräiläffel	bR{:Il{f@l
bräitchemann	bR{:Its\@mAn
brak	bRa:k
brand	bRAnt
brandwonn	bRAntvon
branntewäin	bRAnt@v{:In
brasseli	bRAs@li
bratzele	bRAts@le
bratzelen	bRAts@len
brauch	bR{:UX
brauche	bR{:UX@
brauchen	bR{:UX@n
brauereisecteur	bRAU@RAIs{kt9:R
brauereispäerd	bRAU@RAIspE:6t
braumeeschterinne	bR{:Ume:St@Rin@
braut	bR{:Ut
brautrank	bR{:UtRANk
brav	bRa:f
braven	bRa:v@n
braver	bRa:v6
bravo	bRa:vo:
bréck	bRek
breet	bRe:t
bréie	bR3I@
bréien	bR3I@n
bréif	bR3If
bréifboîte	bR3IfbwAt
bréifdréier	bR3IfdR3I6
bréifkëscht	bR3Ifk@St
bréitche	bR3Its\@
bréitchen	bR3Its\@n
brëll	bR@l
brëlle	bR@l@
brëllen	bR@l@n
brems	bR{ms
bremse	bR{mz@
bremsen	bR{mz@n
brénge	bReN@
bréngen	bReN@n
brenne	bR{n@
brennen	bR{n@n
bretelle	bR@t{l
bretonesch	bR@to:n@S
bretze	bR{ts@
bretzeg	bR{ts@s\
bretzen	bR{ts@n
brieche	bRi@s\@
briechen	bRi@s\@n
briet	bRi@t
briquet	bRike:
britt	bRit
brockelche	bRok@ls\@
brockelchen	bRok@ls\@n
brode	bRo:d@
brodéiere	bRod3I@R@
brodéieren	bRod3I@R@n
broden	bRo:d@n
bromä	bRomE:
brong	bRoN
bronkeg	bRoNk@s\
bronz	bRA~:s
brooch	bRo:X
brooche	bRo:X@
broochen	bRo:X@n
broscht	bRoSt
broschür	bRoSyR
brot	bRo:t
brout	bR@Ut
broutmaschinn	bR@UtmASin
brudder	bRud6
brüsk	bRysk
brutal	bRuta:l
brutsche	bRutS@
brutschen	bRutS@n
buch	buX
bucht	buXt
bud	bu:t
bude	bu:d@
buden	bu:d@n
budget	bydZ@:
budgetsministerinne	bu:tg@tsminist@Rin@
buedbidde	bu@tbid@
buedbidden	bu@tbid@n
buede	bu@d@
buedem	bu@d@m
bueden	bu@d@n
buedzëmmer	bu@tts@m6
buedzëmmerschaf	bu@tts@m6Sa:f
buerbes	bu6b@s
buere	bu@R@
bueren	bu@R@n
buerfouss	bu6f@Us
buerg	bu6s\
buergermeeschter	bu@z\6me:St6
buergermeeschterinne	bu6z\6me:St@Rin@
buermaschinn	bu6mASin
buermaschinne	bu6mASin@
buffet	byfe:
bull	bul
bulli	buli
bullong	buloN
bün	by:n
büneshow	by:n@S@uw
bur	bu:R
bureau	byRo:
büro	byRo:
bürokratesch	byRo:kRa:t@S
bürosklamer	byRo:skla:m6
bus	bus
busbilljee	busbilje:
buschauffer	busSo:f6
buschtaf	buSta:f
buschtawéiere	buSta:v3I@R@
buschtawéieren	buSta:v3I@R@n
buslinne	buslin@
bussar	busa:R
buttek	butek
butteker	butek6
butteksfënster	buteksf@nst6
butzeg	buts@s\
cabillaud	kAbiZo:
cabine	kAbin
cabinet	kAbine:
cabinetspabeier	kAbine:spAbAI6
cabinne	kAbin@
cadeau	kAdo:
café	kAfe:
caissier	ke:sje:
caissière	k{siE:R
calepin	kAlpE~:
camion	kAmjA~:
camionette	kAmjon{t
camionschauffer	kAmjA~:sSo:f6
campagne	kA~:mpAJ
campagnë	kA~:mpAJ@
campagnen	kA~:mpAJ@n
campéiere	k{mp3I@R@
campéieren	k{mp3I@R@n
canapé	kAnApe:
cantonnier	kAntonje:
capot	kApo:
cartouche	kARtuS
casserole	kAs@Rol
cassette	kAs{t
cauchemar	ko:Sma:R
cd	tse:de:
cendrier	sA~:dRije:
chaiselongue	SE:zlA~:g
chalumeau	SAlymo:
chamberpresidentinne	SA~:mb6pRezid{ntin@
chamberspresidentinne	SA~:mb6spRezid{ntin@
champignon	SA~:piJA~:
champion	SA~:pjA~:
chance	SA~:s
change	SA~:S
changéiere	SA~:Z3I@R@
changéieren	SA~:Z3I@R@n
chantier	SA~:tje:
chaotinne	Sa:o:tin@
charmant	SARmAnt
charme	Sa:Rm
chaudière	So:djE:R
chauffer	So:f6
chef	S{f
cheffinne	S{fin@
chemesch	Se:m@S
cheminee	Smine:
chic	Sik
chimie	Simi:
chinesesch	Sine:z@S
chips	Sips
chirurginne	s\iRuRz\in@
choix	SwA
cholerikerinne	ko:le:Rik@Rin@
cholesterol	ko:l{steRol
choufleur	Sufl9:R
chrëschtbeemche	kR@Stbe:ms\@
chrëschtbeemchen	kR@Stbe:ms\@n
chrëschtdag	kR@Stda:X
chrëschtinne	kR@Stin@
chrëschtmaart	kR@Stma:Rt
claude	klo:d@
clementine	kl@mA~:tin
client	kliA~:
clientèle	kliA~:t{l
clinique	klinik
clôture	klo:ty:R
clown	klo:n
cns	tse:{n{s
coiffer	kwAf6
col	kol
collant	kolA~:
colle	kol
commissairinne	komisE:Rin@
commissioun	komisj@Un
communiqué	komynike:
comptabel	kA~:ta:b@l
computer	kompju:t6
concert	kA~:sE:R
concierge	kA~:sjE:RS
conciergë	kA~:sjE:RZ@
conciergen	kA~:sjE:RZ@n
concours	kA~:ku:6
congé	kA~:Ze:
contraire	kA~:tRE:R
cool	ku:l
copie	kopi:
cornichon	koRniSA~:
cortège	koRtE:S
costume	kostym
côte	ko:t
coton	kotA~:
couchen	kus\@n
courage	kuRa:S
couragéiert	kuRAZ3I6t
courrier	kuRje:
cours	ku:6
course	kuRs
coursemaschinn	kuRsmASin
coursen	ku:@R@n
coursse	kuRs@
courssen	kuRs@n
cousin	kuzE~:
cousine	kuzin
coussin	kusE~:
couverte	kuvE:R@
couverten	kuvE:R@n
cravate	kRAvAt
crème	kRE:m
crevette	kR@v{t
cric	kRik
cricket	kRike:
croissant	kRwAsA~:
d	d_0
da	dA
daach	da:X
daachdeckerinne	da:Xd{k@Rin@
daarm	da:Rm
dabo	da:bo:
daccord	dAkO:R
dach	dAX
dachs	dAks
dacks	dAks
dactylo	dAktilo:
däerfe	dE:6f@
däerfen	dE:6f@n
daf	da:f
dafstomm	da:fStom
dag	da:X
dagdeeglech	da:Xde:s\l@s\
dagesausflich	da:Z@s{:Usflis\
dagesfahrt	da:Z@sfa:Rt
daierlech	dAI6l@s\
däin	d{:In
däischter	d{:ISt6
däischtert	d{:ISt6t
däitlech	d{:Itl@s\
däitlechkeet	d{:Itl@s\ke:t
däitsch	d{:ItS
däitschland	d{:ItSlAnt
däiwel	d{:Iv@l
däiwelspakt	d{:Iv@lspAkt
dall	dAl
dame	dAm
damp	dAmp
dämpe	d{mp@
dämpen	d{mp@n
dänesch	dE:n@S
dann	dAn
dännebam	d{n@ba:m
dännebësch	d{n@b@S
danz	dAnts
danze	dAnts@
danzen	dAnts@n
dänzer	d{nts6
dänzerin	d{nts@Rin
dänzerinne	d{nts@Rin@
daper	da:p6
dar	da:R
därbaants	dE:Rba:nts
däreldéier	dE:R@ld3I6
dat	da:t
datselwecht	da:tz{lv@s\t
datt	dAt
dattel	dAt@l
datum	da:tum
datz	dAts
dauche	d{:UX@
dauchen	d{:UX@n
dauer	dAU6
dauere	dAU@R@
daueren	dAU@R@n
dauf	dAUf
daum	dAUm
dausend	dAUz@nt
de	d@
débarras	de:bARa:
deboiséieren	debwAz3I@R@n
debrouilléier	debRuj3I6
débrouilléiere	debRuj3I@R@
debrouilléieren	d@bRuj3I@R@n
debutant	de:bytAnt
decalage	de:kAla:S
dech	d@s\
decharge	d@SARS
décidéiere	de:sid3I@R@
décidéieren	de:sid3I@R@n
déck	dek
decke	d{k@
deckel	d{k@l
decken	d{k@n
déckflësseg	dekfl@s@s\
déckkäppeg	dekk{p@s\
declaratioun	deklARa:tsj@Un
déclaréiere	deklAR3I@R@
déclaréieren	deklAR3I@R@n
décor	dekO:R
dee	de:
deefe	de:f@
deefen	de:f@n
deeg	de:s\
deeglaang	de:s\la:N
deeglech	de:s\l@s\
deegwuere	de:s\vu@R@
deegwueren	de:s\vu@R@n
deel	de:l
deele	de:l@
deelen	de:l@n
deelhuele	de:lhu@l@
deelhuelen	de:lhu@l@n
deelweis	de:lvAIs
deemno	de:mno:
deemools	de:mo:ls
deen	de:n
deeselwechte	de:z{lv@s\t@
deeselwechten	de:z{lv@s\t@n
déforméiere	defORm3I@R@
déforméieren	defORm3I@R@n
defouléiert	d@ful3I6t
déi	d3I
déide	d3Id@
déiden	d3Id@n
deier	dAI6
déier	d3I6
déieregaart	d3I@R@ga:Rt
déif	d3If
déift	d3Ift
déischen	d3Isj@n
déiselwecht	d3Iz{lv@s\t
delegatioun	delega:tsj@Un
delikt	delikt
dëlpessen	d@lp@s@n
delphin	d{lfi:n
delta	d{lta:
demande	d@mA~:t
demaskéier	demAsk3I6
dementi	d@m{nti:
démodéiert	demod3I6t
demographeschen	demogRa:f@S@n
demographie	demogRa:fi:
demonstrant	demonstRAnt
demonstrante	demonstRAnt@
demonstranten	demonstRAnt@n
dëmpe	d@mp@
dëmpen	d@mp@n
den	d@n
dénger	deN6
déngscht	deNSt
denke	d{Nk@
denken	d{Nk@n
denkmal	d{Nkma:l
dënn	d@n
dënschdeg	d@nSd@s\
dënschdege	d@nSd@z\@
dënschdegen	d@nSd@z\@n
dënschdes	d@nSd@s
dépanneuse	depAn2:s
départ	depa:R
depassement	d@pAs@mA~:
depassemente	d@pAs@mA~:@
depassementen	d@pAs@mA~:@n
dëppe	d@p@
dëppen	d@p@n
der	d6
derangement	d@RA~:Z@m{nt
derangementer	d@RA~:Z@m{nt6
derbäi	d6b{:I
dergéint	d6g3Int
derhannert	d6hAn6t
dermat	d6mAt
dernieft	d6ni@ft
deroutéier	deRut3I6
dervun	d6fun
derwidder	d6vid6
dës	d@s
desaffectéiert	dezAf{kt3I6t
désagréabel	dezAgRea:b@l
descente	desA~:t
dësch	d@S
dëschelduch	d@S@lduX
dëschtel	d@St@l
dëse	d@z@
dësen	d@z@n
dëslescht	d@sl{St
dessert	d@sE:R
dëst	d@st
destabiliséieren	destAbiliz3I@R@n
desto	d{sto:
detachéiers	detAS3I6s
detail	detAj
detektivinne	det{kti:vin@
developpementer	d@v@lop@m{nt6
dezember	dets{mb6
dezent	de:ts{nt
dezibel	de:tsib{l
diagnos	diAgno:s
diagnose	diAgno:z@
diagnostizéieren	dia:gnostits3I@R@n
dialog	dia:lo:X
dicher	dis\6
dicht	dis\t
dichteg	dis\t@s\
dichterinne	dis\t@Rin@
dichtung	dis\tuN
dictée	dikte:
dictéeën	dikte:@n
dictionnaire	diksjo:nE:R
die	di@
diebele	di@b@l@
diebelen	di@b@l@n
diedege	di@d@z\@
diedegen	di@d@z\@n
dien	di@n
dier	di6
dierfe	di6f@
dierfen	di6f@n
dierwiechterinne	di6vi@s\t@Rin@
dierze	di6ts@
dierzen	di6ts@n
diesel	di:z@l
diffamatoresch	difAmAto:R@S
digestiffen	diZestif@n
digitaalt	diZita:lt
digital	diZita:l
diichte	di:s\t@
diichten	di:s\t@n
diktatorinne	dikta:toRin@
dilettant	dil{tAnt
dillendapp	dil@ndAp
dinde	dE~:d
dindë	dE~:d@
dinden	dE~:d@n
diplom	diplo:m
diplomatinne	diplo:ma:tin@
dir	di6
dirängele	di:R{N@l@
dirängelen	di:R{N@l@n
direkt	diR{kt
direkter	diR{kt6
direktiounssitzung	diR{ktsj@UnsitsuN
dirigéiere	diRiZ3I@R@
dirigéieren	diRiZ3I@R@n
dirigent	diRiZ{nt
dirigentinne	diRiZ{ntin@
discipline	disiplin
disciplinéierten	disiplin3I6t@n
disco	disko:
discoursen	disku:@R@n
disponibelen	dispo:nib@l@n
disque	disk
disquë	disk@
disquen	disk@n
distanz	distAnts
distributeure	distRibut9:R@
disziplinne	distsiplin@
diwan	divA~:
diwwi	divi:
do	do:
dobäi	dob{:I
dobanne	dobAn@
dobannen	dobAn@n
dobausse	dob{:Us@
dobaussen	dob{:Us@n
dobehalen	do:b@ha:l@n
dobleiwen	do:blAIv@n
doctrinne	doktRin@
documentairen	dokymA~:ta:i:R@n
dodrun	dodRun
doe	do:@
doen	do:@n
doft	doft
dohanne	dohAn@
dohannen	dohAn@n
doheem	dohe:m
dohin	dohin
dokes	dok@s
dokessen	dok@s@n
dokter	dokt6
doktesch	dokt@S
doktrinne	doktRin@
dokumentéieren	dokum{nt3I@R@n
dokumentéiers	dokum{nt3I6s
dolch	dols\
doléiner	do:l3In6
dolmetscher	dolm{tS6
dolmetscherinne	dolm{tS@Rin@
domat	domAt
domm	dom
dommheet	domhe:t
dompeg	domp@s\
done	dA~:@
donen	dA~:@n
donieft	doni@ft
donkel	doNk@l
donner	don6
donnerwieder	don6vi@d6
donneschdeg	don@Sd@s\
donneschdes	don@Sd@s
dono	do:no:
donst	donst
doppelgänger	dop@lg{N6
dorobber	doRob6
doropshi	doRopshi
doropshin	doRopshin
dosagë	doza:Z@
dose	doz@
dosen	doz@n
dosis	do:zi:s
dot	do:t
douane	dwAn
douanier	dwAnje:
doubléieren	dubl3I@R@n
douce	du:s
doucë	du:s@
doucem	du:s@m
doucen	du:s@n
doucestem	du:s@st@m
douche	duS
doud	d@Ut
doudeg	d@Ud@s\
doudege	d@Ud@z\@
doudegen	d@Ud@z\@n
doudelued	d@Ud@lu@t
doudesannonce	d@Ud@zAnA~:s
doudmidd	d@Utmit
doudsécher	d@Utz@s\6
douéiert	du:3I6t
dous	d@Us
doutgekrasch	d@Utg@kRAS
doutgelaacht	d@Utg@la:Xt
dovun	dofun
draach	dRa:X
draguéieren	dRAg3I@R@n
dräi	dR{:I
dräieck	dR{:Iek
dräieckeg	dR{:Iek@s\
dräirad	dR{:IRa:t
dräizéng	dR{:ItseN
dram	dRa:m
dran	dRAn
dränke	dR{Nk@
dränken	dR{Nk@n
drauf	dRAUf
dréche	dR@s\@
dréchen	dR@s\@n
dréchent	dR@s\@nt
dréchne	dR@s\n@
dréchnen	dR@s\n@n
dreck	dR{k
drécke	dRek@
dreckeg	dR{k@s\
drécken	dRek@n
dréckerei	dRek@RAI
drecksak	dR{ksa:k
dreckskëscht	dR{ksk@St
dreckstipp	dR{kstip
dreeën	dRe:@n
dreeme	dRe:m@
dreemen	dRe:m@n
dréie	dR3I@
dréien	dR3I@n
dréihälsche	dR3Ih{lsj@
dréihälschen	dR3Ih{lsj@n
dréngend	dReN@nt
drénke	dReNk@
drénken	dReNk@n
drénkgeld	dReNkg{lt
drénkwaasser	dReNkva:s6
drënner	dR@n6
drëpp	dR@p
drëps	dR@ps
drëpse	dR@ps@
drëpsen	dR@ps@n
drësseg	dR@s@s\
drëtte	dR@t@
drëtten	dR@t@n
driibseg	dRi:ps@s\
driwwer	dRiv6
drobier	dRo:bi6
drock	dRok
drocksaach	dRoksa:X
droe	dRo:@
droen	dRo:@n
drog	dRo:k
drogen	dRo:g@n
drogendealerinne	dRo:g@ndi:l@Rin@
drogenhändlerinne	dRo:g@nh{ndl@Rin@
drogestatistik	dRo:g@StAtistik
drogestatistike	dRo:g@StAtistik@
drogestatistiken	dRo:g@StAtistik@n
droguéieren	dRo:g3I@R@n
droit	dRwA
droleg	dRo:l@s\
dronkenheet	dRoNk@nhe:t
drop	dRop
dropgängerinne	dRopg{N@Rin@
dropmaache	dRopma:X@
dropmaachen	dRopma:X@n
dropmouchs	dRopm@UXs
drot	dRo:t
druddele	dRud@l@
druddelen	dRud@l@n
drugéifen	dRug3If@n
drugesaten	dRug@sa:t@n
drüs	dRy:s
du	du:
dübbelen	dyb@l@n
dübel	dy:b@l
duch	duX
duché	dySe:
ducke	duk@
duckele	duk@l@
duckelen	duk@l@n
ducken	duk@n
duebel	du@b@l
duechter	du@s\t6
duer	du:6
duerch	du:6s\
duerchernee	du:6z\6ne:
duercherneen	du:6z\6ne:n
duerchfale	du:6s\fa:l@
duerchfalen	du:6s\fa:l@n
duerchfall	du:6s\fAl
duerchgéifen	du6s\g3If@n
duerchschnëttsalter	du:6s\Sn@tsAlt6
duerchsichteg	du:6s\zis\t@s\
duerchsträiche	du:6s\StR{:Is\@
duerchsträichen	du:6s\StR{:Is\@n
duerchwulle	du:6s\vul@
duerchwullen	du:6s\vul@n
duerf	du6f
duerfe	du:6f@
duerfen	du6f@n
duerfir	du6fi6
duergoe	du:6go:@
duergoen	du6go:@n
duerkomme	du:6kom@
duerkommen	du6kom@n
duerno	du6no:
dünger	dyN6
dunn	dun
dure	dy:R
dusch	duS
duschcabinne	duSkAbin@
dusche	duS@
duschen	duS@n
duschkabinne	duSkAbin@
dusel	duz@l
duuscht	du:St
duuss	du:s
duze	du:ts@
duzen	du:ts@n
dynastie	dinAsti:
e	@
ebe	e:b@
eben	e:b@n
ecart	eka:R
ecarte	eka:R@
ecarten	eka:R@n
ech	@s\
echange	@SA~:S
echangë	@SA~:Z@
echangen	@SA~:Z@n
échantillon	@SA~:tijA~:
echantillon	@SA~:tjA~:
echantillone	@SA~:tjA~:@
echantillonen	@SA~:tjA~:@n
echeance	@SeA~:s
echeancë	@SeA~:s@
echeancen	@SeA~:s@n
echec	@S{k
echecke	@S{k@
echecken	@S{k@n
echt	{s\t
eck	{k
eckeg	{k@s\
ecran	e:kRA~:
ecrane	e:kRA~:@
ecranen	e:kRA~:@n
edelstee	e:d@lSte:
edelsteen	e:d@lSte:n
educatiounsprojeten	e:duka:tsj@UnspRoZe:@n
ee	e:
eech	e:s\
eechel	e:s\@l
eed	e:t
eedem	e:d@m
eeërschuel	e:6Su@l
eeërstack	e:6StAk
eefälleg	e:f{l@s\
eefalt	e:fAlt
eege	e:z\@
eegen	e:z\@n
eegentemer	e:z\@nt@m6
eegentlech	e:z\@ntl@s\
eegentom	e:z\@ntom
eegiel	e:gi@l
eekele	e:k@l@
eekeleg	e:k@l@s\
eekelen	e:k@l@n
eekle	e:kl@
eekleg	e:kl@s\
eeklen	e:kl@n
eelef	e:l@f
eeler	e:l6
eelst	e:lst
eelste	e:lst@
eelsten	e:lst@n
eelze	e:lts@
eelzen	e:lts@n
eemer	e:m6
eemol	e:mo:l
een	e:n
eenege	e:n@z\@
eenegen	e:n@z\@n
eent	e:nt
eenzeg	e:nts@s\
eenzege	e:nts@z\@
eenzegen	e:nts@z\@n
eenzegt	e:nts@s\t
eenzel	e:nts@l
eenzelheete	e:nts@lhe:t@
eenzelheeten	e:nts@lhe:t@n
eenzock	e:ntsok
eescht	e:St
eeschtlech	e:Stl@s\
eess	e:s
eeter	e:t6
eewäiss	e:v{:Is
efeu	e:foI
effete	{fe:@
effeten	{fe:@n
efficacen	{fikAs@n
efficacer	{fikAs6
efficacest	{fikAs@st
efficacet	{fikAst
effiziente	{fitsj{nt
effizienter	{fitsj{nt6
effort	{fO:R
efforte	{fO:R@
efforten	{fO:R@n
egal	ega:l
égout	egu:
eidechs	AId{ks
eidel	AId@l
éier	3I6
éierbar	3I6ba:R
éierewou	3I@R@w@U
éiergäiz	3I6g{:Its
éiergäizeg	3I6g{:Its@s\
éierlech	3I6l@s\
eigentlech	AIz\@ntl@s\
eil	AIl
éil	3Il
einfach	AInfAX
einsamkeet	AInza:mke:t
eintlech	AIntl@s\
eis	AIs
éischt	3ISt
éischte	3ISt@
éischten	3ISt@n
éischter	3ISt6
eise	AIz@
eisebunn	AIzebun
eisebunner	AIzebun6
eisekuch	AIzekuX
eisen	AIz@n
eisepäertche	AIz@pE:6ts\@
eisepäertchen	AIz@pE:6ts\@n
eiser	AIz6
éislek	3Islek
eist	AIst
éiweg	3Iv@s\
éiwegkeet	3Iv@s\ke:t
ekel	e:k@l
ekologistinne	e:ko:logistin@
ekonomistinne	e:ko:no:mistin@
elaboréieren	elAboR3I@R@n
elauter	@l{:Ut6
elch	{ls\
elefeant	@l@fAnt
elei	@lAI
elektriker	el{ktRik6
elementar	@l@m{nta:R
elementarem	@l@m{nta:R@m
elementer	@l@m{nt6
eleng	@l{N
elitär	elitE:R
elitären	elitE:R@n
elle	{l@
ellen	{l@n
elo	@lo:
eltere	{lt@R@
elteren	{lt@R@n
ëm	@m
emäermele	@mE:6m@l@
emäermelen	@mE:6m@l@n
email	emAj
émail	emAj
emailléier	emAj3I6
ëmännere	@m{n@R@
ëmänneren	@m{n@R@n
emballage	A~:mbAla:S
emballagë	A~:mbAlAZ@
emballagen	A~:mbAla:Z@n
embargo	{mbARgo:
ëmbloost	@mblo:st
embolie	A~:mboli:
ëmbrénge	@mbReN@
ëmbréngen	@mbReN@n
