#######################
##
## License goes here
##
#######################
a	A
äiskal	{:Iska:l
äiskonschtleeferinne	{:IskonStle:f@Rin@
äisschongfuere	{:IsSoNfu@R@
äisschongfueren	{:IsSoNfu@R@n
ajustéiere	AZyst3I@R@
ajustéieren	AZyst3I@R@n
akachs	AkAXs
akacht	AkAXt
akademikerinne	Aka:de:mik@Rin@
akaf	Aka:f
akafe	Aka:f@
akafen	Aka:f@n
akafskuerf	Aka:fsku@f
akafsweenche	Aka:fsve:ns\@
akafsweenchen	Aka:fsve:ns\@n
akaul	a:kAUl
akkord	AkOXt
akkorden	AkORd@n
akkordeon	AkORde:A~:
akkordeone	AkORde:A~:@
akkordeonen	AkORde:A~:@n
akkordeonistinne	AkoRde:onistin@
akku	Aku:
akkue	Aku:@
akkuen	Aku:@n
aklamme	AklAm@
aklammen	AklAm@n
aklemme	Akl{m@
aklemmen	Akl{m@n
akrobat	AkRo:ba:t
akrobat	AkRoba:t
akrobate	AkRo:ba:t@
akrobaten	AkRo:ba:t@n
akrobatinne	AkRo:ba:tin@
akt	Akt
aktie	Aksj@
aktien	Aksj@n
aktionärinne	Aksjo:nE:Rin@
aktioun	Aksj@Un
aktiv	Akti:f
aktiven	Akti:v@n
aktiver	Akti:v6
aktivistinne	Aktivistin@
aktivitéit	Aktivit3It
aktuell	Aktw{l
al	a:l
aläert	AlE:6t
alain	AlE~:
alarm	AlARm
album	Album
ale	a:l@
alen	a:l@n
alertéiere	Al{Rt3I@R@
alertéieren	Al{Rt3I@R@n
alg	Als\
alge	Alz\@
algen	Alz\@n
alibien	a:libi:@n
aliichte	Ali:s\t@
aliichten	Ali:s\t@n
alkohol	Alkoho:l
alkohol	Alkohol
alkohole	Alkoho:l@
alkoholikerinne	Alkoho:lik@Rin@
all	Al
allebéid	Al@b3It
alleguer	Al@gu6
allergië	Al{RZi:@
allergien	Al{RZi:@n
allerhellge	Al6h{lz\@
allerhellgen	Al6h{lz\@n
allerlee	Al6le:
allerséile	Al6z3Il@
allerséilen	Al6z3Il@n
alles	Al@s
allgemeng	Alg@m{N
allianz	AljAnts
allianze	AljAnts@
allianzen	AljAnts@n
alliéierten	Alj3I6t@n
alliéierter	Alj3I6t6
allo	Alo:
allür	Aly:R
allüre	Aly:R
allure	Aly:R@
allurë	Aly:R@
alluren	Aly:R@n
almose	Almo:z@
almosen	Almo:z@n
almoudesch	a:lm@Ud@S
alpinistinne	Alpinistin@
als	Als
also	Alzo:
alstad	a:lSta:t
alter	Alt6
alternativ	AltE6nAti:f
altertum	Alt6tum
altesse	Alt{s
altessen	Alt{s@n
aluede	Alu@d@
alueden	Alu@d@n
aluminium	Alyminjum
am	Am
amaache	Ama:X@
amaachen	Ama:X@n
amaachglas	Ama:Xgla:s
amant	AmA~:
amante	AmA~:@
amanten	AmA~:@n
amass	AmAs
amateur	AmAt9:R
ambassad	AmbAsa:t
ambassadë	A~:mbAsa:d@
ambassade	A~:mbAsa:t
ambassaden	A~:mbAsa:d@n
ambassadeur	A~:mbAsAd9:R
ambigu	A~:mbigy:
ambigue	A~:mbigy:@
ambiguem	A~:mbigy:@m
ambiguen	A~:mbigy:@n
ambiguitéit	A~:mbigy:it3It
ambiguitéite	A~:mbigy:it3It
ambiguitéiten	A~:mbigy:it3It@n
ambitiéis	A~:mbisj3Is
ambitiéise	A~:mbisj3Iz@
ambulanz	AmbulAnts
améchs	Am@s\s
amelioratioun	Ameljo:RAtsj@Un
amen	a:m@n
amenagéiere	Amena:Z3I@R@
amenagéieren	Amena:Z3I@R@n
amendéier	AmA~:nd3I6
amendéieren	AmA~:nd3I@R@n
amendement	AmA~:nd@mA~:
ament	Am{nt
amerika	Ame:Rika:
amësche	Am@S@
amëschen	Am@S@n
ameséiere	Am@z3I@R@
ameséieren	Am@z3I@R@n
amgaang	Amga:N
amicalle	AmikAl@
amicallen	AmikAl@n
amnestie	Amn{sti:
amnestië	Amn{sti:@
amok	Amok
amokleeferinne	Amokle:f@Rin@
amortiséiere	AmORtiz3I@R@
amortiséieren	AmORtiz3I@R@n
amortisseur	AmORtis9:R
amplaz	Ampla:ts
ampull	Ampul
amusant	AmuzAnt
amusantem	AmuzAnt@m
amüsantem	AmysAnt@m
amüsantst	AmysAntst
amusantste	AmuzAntst@
amusement	Amuz@m{nt
an	An
anachronismen	AnAkRonism@n
analoger	Ana:lo:R6
analogie	Ana:lo:Zi:
analogië	Ana:lo:Zi:@
analogië	Ana:loZi:@
analogien	Ana:lo:Zi:@n
analoogt	Ana:lo:Xt
analphabet	AnAlfa:be:t
analphabete	AnAlfa:be:t@
analphabeten	AnAlfa:be:t@n
analphabetin	Ana:lfa:be:tin
analphabetinne	Ana:lfa:b@tin@
analyse	Ana:li:z@
analytikerinne	Ana:litik@Rin@
ananas	AnAna:s
anarchie	AnARs\i@
anarchistinne	Ana:Rs\istin@
anäscheren	An{S@R@n
anästhesie	AnE:ste:zi:
anästhesië	AnE:ste:zi:@
anästhesistinne	AnE:ste:sistin@
anchecken	AntS{k@n
anchoisen	A~:SwA@n
anekdot	An{kdo:t
aneneen	An@ne:n
aner	a:n6
anere	a:n@R@
aneren	a:n@R@n
anescht	a:n@St
angab	Anga:p
angabe	Anga:b@
angine	A~:Zin
anginne	A~:Zin@
angscht	ANSt
ängschtlech	{NStl@s\
animateur	AnimAt9:R
animéiere	Anim3I@R@
animéieren	Anim3I@R@n
anker	ANk6
ännere	{n@R@
änneren	{n@R@n
ännerung	{n@RuN
anniichter	Ani:s\t6
anniversaire	Ani:v{RsE:R
anniversairë	Ani:v{RsE:R@
anniversairen	Ani:v{RsE:R@n
annonce	AnA~:s
annoncéiere	AnA~:s3I@R@
annoncéieren	AnA~:s3I@R@n
annuléiere	Anyl3I@R@
annuléieren	Anyl3I@R@n
anomalie	Anoma:li:
anomalië	Anoma:li:@
anonymmen	Anonim@n
anorak	AnoRAk
anormal	AnORma:l
anotems	Ano:t@ms
anotemt	Ano:t@mt
antenn	Ant{n
antenne	A~:nt{n@
antennen	A~:nt{n@n
antëscht	Ant@St
antibiotique	Anti:bjotik
antibiotiquë	Anti:bjotik@
antibiotiquen	Anti:bjotik@n
anticke	Antik@
antickem	Antik@m
antik	Anti:k
antik	Antik
antikst	Antikst
antippe	Antip@
antippen	Antip@n
antisemitesch	Anti:ze:mit@S
antisemitinne	Anti:ze:mitin@
antivol	A~:ntivol
antriichtere	AntRi:s\t@R@
antriichteren	AntRi:s\t@R@n
äntwere	{ntv@R@
äntweren	{ntv@R@n
äntwert	{ntv6t
anzeblende	Ants@bl{nd@
anzeblenden	Ants@bl{nd@n
anzeblenne	Ants@bl{n@
anzeblennen	Ants@bl{n@n
anzebrénge	Ants@bReN@
anzebréngen	Ants@bReN@n
anzebrenne	Ants@bR{n@
anzesange	Ants@zAN@
anzwousch	Antsw@US
apaart	Apa:Rt
apake	Apa:k@
apaken	Apa:k@n
apdikt	Apdikt
apdikter	Apdikt6
